"Horodateur","Pull request number where the CI minimizer was used","Are you the author of the pull request?","Did you trigger the CI minimizer on this pull request yourself?","Is this the first time that you've used the CI minimizer?","Was the CI minimizer run on this pull request useful to you?","Did the output of the CI minimizer help you to understand the impact of the pull request on external projects?","(Before reading this question) did you use the output of the CI minimizer on this pull request to extend the test suite of Coq?","If not, can you tell us why?","Do you have more feedback that you'd like to share with us?"
"2021/10/28 5:24:21 PM UTC+1","13895","Yes","Yes","Yes","Not useful","No","No (and I didn't plan to do so)","The output of the minimizer was too long and unhelpful, and I ended up figuring out what the problem was the old-fashioned way. It wasn't something I thought would make sense to add to the test suite anyway.","I thought coqbot was too eager to remind us of the minimizer, although that's probably more relevant for the coqbot maintainers than for you. Even though it wasn't useful for this PR, I used the minimizer privately once and it was helpful then. Thank you for making it available."
"2021/10/29 12:44:13 AM UTC+1","14740","Yes","No","No","Not useful","No","No (and I didn't plan to do so)","In this case, the CI errors were my fault and not a bug that needed to be minimised.",""
"2021/10/29 12:46:25 AM UTC+1","14758","No","Yes","Yes","Very useful","Yes","Yes","","Worked exactly as expected here."
"2021/10/29 12:48:53 AM UTC+1","14819","No","Yes","No","Very useful","Yes","No (and I didn't plan to do so)","In this case, an external project was found to be using a deprecated feature.","It quickly identified what the problem was, that was useful."
"2021/10/29 12:51:19 AM UTC+1","14777","Yes","Yes","No","Not useful","No","No (and I didn't plan to do so)","In this case the minimizer wasn't able to minimize the file and had to be manually stopped.",""
"2021/10/29 8:28:20 AM UTC+1","14818","Yes","No","","Not useful","No","No (and I didn't plan to do so)","",""
"2021/10/29 8:32:36 AM UTC+1","14819","Yes","No","","Not useful","No","No (and I didn't plan to do so)","","CI minimizer was particularly noisy there (partly due to a bug). I however understand that a trade off must be found between making the minimizer visible and minimizing its noise (no pun intended) and I don't have any good answer (I feel things might have improved a bit since then, but that's just a feeling)."
"2021/10/29 8:55:36 AM UTC+1","14612","Yes","Yes","Yes","Very useful","Yes","Yes","","The most impactful benefit of the minimizer for me was removal of superfluous dependencies. Although the ""minimized"" code was still quite complicated, it was easy to compile and therefore the bug was easy to reproduce."
"2021/11/03 4:48:02 PM UTC+1","13969","Yes","Yes","Yes","Very useful","Yes","Yes","",""
"2021/11/07 12:10:11 PM UTC+1","13107","Yes","No","","Not useful","No","No (and I didn't plan to do so)","",""
"2021/11/07 12:11:34 PM UTC+1","14480","Yes","Yes","","Somewhat useful","Yes","Yes","",""
"2021/11/07 12:12:29 PM UTC+1","14733","No","Yes","No","Not useful","No","No (and I didn't plan to do so)","",""
"2021/11/07 12:13:44 PM UTC+1","14758","Yes","No","","Not useful","No","No (and I didn't plan to do so)","",""
"2021/11/07 12:15:05 PM UTC+1","14783","Yes","Yes","No","Not useful","","","","this PR changed the ci commit used so the minimizer had no chance of success"
"2021/11/07 12:16:16 PM UTC+1","14785","Yes","Yes","","Very useful","","No (and I didn't plan to do so)","",""
"2021/11/07 12:18:36 PM UTC+1","14929","No","Yes","","Somewhat useful","","","",""
"2021/11/07 12:20:08 PM UTC+1","14986","Yes","Yes","","Somewhat useful","","No (and I didn't plan to do so)","",""
"2021/11/07 12:21:11 PM UTC+1","15048","Yes","Yes","","Very useful","","Yes","",""
"2021/11/07 6:17:04 PM UTC+1","11966","Yes","Yes","Yes","Not useful","No","No (and I didn't plan to do so)","",""
